                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.73801,                 2.8542,                 1.2656,                0.42179,                0.38935,                0.38241,                  0.301,                0.74375,                 2.0276,                 1.2381,              0.0033288,              0.0033288,              0.0033288
                      1,                0.72124,                 1.9799,                 1.2407,                0.46868,                0.35222,                0.34318,                0.25355,                0.88197,                 2.1507,                 1.3629,              0.0066182,              0.0066182,              0.0066182
                      2,                0.83018,                 2.0927,                 1.3073,                0.46569,                0.26784,                0.23336,                0.15992,                  1.172,                 2.6899,                  1.705,              0.0098636,              0.0098636,              0.0098636
                      3,                0.91984,                 2.2629,                 1.3805,                0.47554,                0.31766,                0.28599,                0.20314,                 1.0749,                 2.3854,                  1.579,               0.009802,               0.009802,               0.009802
                      4,                0.89387,                 2.1473,                 1.3593,                0.53948,                0.39305,                0.38632,                0.28159,                 0.9663,                 2.0183,                 1.4512,               0.009802,               0.009802,               0.009802
                      5,                0.85629,                 2.0312,                 1.3306,                0.45449,                0.41837,                0.39411,                0.29346,                0.91195,                 1.9859,                 1.3972,               0.009736,               0.009736,               0.009736
                      6,                0.83332,                 1.9577,                 1.3155,                0.57091,                 0.4426,                0.45936,                0.34671,                0.88368,                 1.7803,                 1.3683,                0.00967,                0.00967,                0.00967
                      7,                0.80985,                  1.876,                 1.3003,                0.60147,                0.43186,                0.46314,                0.35676,                0.84877,                 1.7388,                 1.3317,               0.009604,               0.009604,               0.009604
                      8,                 0.7908,                 1.8021,                 1.2784,                0.64153,                0.45184,                0.50151,                0.38844,                0.83014,                 1.6778,                 1.3288,               0.009538,               0.009538,               0.009538
                      9,                0.77721,                 1.7573,                 1.2772,                0.55412,                0.49488,                0.52018,                0.40452,                0.81325,                 1.6009,                 1.3038,               0.009472,               0.009472,               0.009472
                     10,                0.76159,                 1.7054,                 1.2679,                0.56348,                0.51012,                 0.5329,                0.42369,                 0.7857,                 1.5479,                  1.263,               0.009406,               0.009406,               0.009406
                     11,                0.75038,                 1.6501,                 1.2578,                0.63313,                0.49492,                0.54625,                0.43087,                  0.783,                 1.5054,                 1.2668,                0.00934,                0.00934,                0.00934
                     12,                0.73514,                  1.604,                 1.2423,                0.61191,                0.47582,                0.55007,                0.44173,                0.77092,                 1.5052,                 1.2586,               0.009274,               0.009274,               0.009274
                     13,                0.72275,                 1.5605,                 1.2358,                0.61952,                0.54057,                0.57593,                0.46044,                0.75846,                 1.4204,                 1.2442,               0.009208,               0.009208,               0.009208
                     14,                0.71818,                 1.5421,                 1.2356,                0.60861,                0.53316,                0.56839,                0.45702,                0.74886,                 1.4476,                 1.2374,               0.009142,               0.009142,               0.009142
                     15,                0.71064,                  1.504,                 1.2233,                0.64008,                0.52874,                0.57976,                0.46767,                0.73394,                  1.396,                 1.2303,               0.009076,               0.009076,               0.009076
                     16,                0.70358,                  1.485,                 1.2222,                 0.6333,                0.54441,                0.58812,                0.47816,                0.72475,                  1.398,                 1.2131,                0.00901,                0.00901,                0.00901
                     17,                0.69067,                 1.4383,                 1.2128,                0.68086,                0.54462,                0.60553,                0.48937,                0.72493,                 1.3674,                 1.2148,               0.008944,               0.008944,               0.008944
                     18,                0.67858,                 1.4162,                 1.2109,                0.63484,                0.57371,                0.61146,                0.49655,                0.71085,                 1.3111,                 1.1993,               0.008878,               0.008878,               0.008878
                     19,                 0.6707,                 1.3942,                 1.2051,                0.69317,                0.54953,                0.61805,                 0.5008,                0.70595,                 1.3097,                 1.2029,               0.008812,               0.008812,               0.008812
                     20,                0.67411,                 1.3726,                 1.1996,                0.67924,                0.57264,                0.62769,                0.51472,                0.69969,                 1.2785,                 1.1886,               0.008746,               0.008746,               0.008746
                     21,                0.65945,                 1.3485,                 1.1916,                0.68743,                0.57374,                0.63227,                 0.5188,                0.68696,                 1.2671,                 1.1792,                0.00868,                0.00868,                0.00868
                     22,                 0.6562,                 1.3232,                 1.1901,                0.68156,                0.58715,                0.63908,                0.52267,                0.69965,                 1.2722,                 1.1907,               0.008614,               0.008614,               0.008614
                     23,                0.65799,                 1.3148,                 1.1884,                0.67439,                0.58702,                0.63699,                0.52918,                0.67403,                 1.2444,                 1.1633,               0.008548,               0.008548,               0.008548
                     24,                0.65107,                 1.2895,                 1.1819,                 0.7238,                0.58687,                0.65287,                0.54179,                0.66393,                 1.2081,                  1.163,               0.008482,               0.008482,               0.008482
                     25,                0.64477,                 1.2818,                 1.1793,                0.70903,                0.58786,                0.66028,                0.54369,                0.66957,                 1.2043,                  1.164,               0.008416,               0.008416,               0.008416
                     26,                0.63695,                 1.2458,                 1.1731,                0.72423,                0.60734,                0.66483,                0.54995,                0.65894,                 1.1876,                 1.1556,                0.00835,                0.00835,                0.00835
                     27,                0.63501,                 1.2224,                   1.17,                  0.719,                0.61094,                0.66768,                0.55436,                 0.6611,                  1.152,                 1.1516,               0.008284,               0.008284,               0.008284
                     28,                  0.631,                 1.2206,                 1.1705,                0.70722,                0.61045,                0.66766,                 0.5541,                0.65461,                 1.1534,                 1.1514,               0.008218,               0.008218,               0.008218
                     29,                 0.6294,                 1.2104,                 1.1655,                0.69084,                0.62242,                0.66995,                0.55941,                0.64674,                 1.1534,                 1.1435,               0.008152,               0.008152,               0.008152
                     30,                0.61891,                 1.1824,                 1.1572,                0.71542,                0.60839,                0.67245,                0.56218,                0.64641,                 1.1604,                 1.1479,               0.008086,               0.008086,               0.008086
                     31,                0.61901,                 1.1719,                 1.1632,                0.71788,                0.62456,                0.68227,                0.56812,                0.63799,                   1.13,                 1.1393,                0.00802,                0.00802,                0.00802
                     32,                0.61267,                 1.1454,                 1.1542,                 0.7503,                 0.6195,                0.68801,                0.57229,                 0.6319,                 1.1208,                 1.1354,               0.007954,               0.007954,               0.007954
                     33,                0.61082,                 1.1429,                  1.155,                0.73257,                0.61869,                0.68568,                0.57143,                0.62946,                  1.124,                 1.1284,               0.007888,               0.007888,               0.007888
                     34,                0.60581,                  1.126,                 1.1531,                0.75053,                0.61289,                0.68975,                0.57829,                0.63338,                 1.1077,                 1.1336,               0.007822,               0.007822,               0.007822
                     35,                0.60565,                 1.1239,                 1.1513,                0.74278,                0.62555,                0.69519,                0.58372,                0.62883,                 1.1038,                 1.1235,               0.007756,               0.007756,               0.007756
                     36,                0.59657,                 1.0958,                 1.1456,                0.74654,                0.63488,                0.70072,                0.59065,                0.61992,                  1.076,                 1.1178,                0.00769,                0.00769,                0.00769
                     37,                0.59044,                 1.0802,                 1.1396,                0.74558,                0.63835,                0.70049,                 0.5887,                0.62135,                 1.0829,                 1.1164,               0.007624,               0.007624,               0.007624
                     38,                0.59498,                 1.0654,                 1.1427,                0.73628,                0.63032,                0.69366,                0.58595,                0.61957,                  1.087,                 1.1231,               0.007558,               0.007558,               0.007558
                     39,                0.58887,                 1.0688,                 1.1386,                0.74514,                0.63147,                0.69222,                0.58574,                0.61881,                 1.0803,                 1.1227,               0.007492,               0.007492,               0.007492
                     40,                0.58724,                 1.0503,                 1.1359,                0.74615,                0.63986,                0.70268,                0.59645,                0.60799,                 1.0531,                 1.1096,               0.007426,               0.007426,               0.007426
                     41,                0.58829,                 1.0434,                 1.1339,                0.76738,                0.62555,                0.70409,                0.59683,                0.61217,                 1.0568,                 1.1179,                0.00736,                0.00736,                0.00736
                     42,                0.58189,                 1.0339,                 1.1343,                0.75707,                0.64374,                0.71251,                0.60288,                0.61357,                 1.0401,                 1.1194,               0.007294,               0.007294,               0.007294
                     43,                0.57814,                 1.0165,                 1.1311,                0.75308,                0.63821,                0.70992,                0.59957,                0.60671,                 1.0437,                 1.1116,               0.007228,               0.007228,               0.007228
                     44,                0.57587,                 1.0037,                 1.1289,                0.74815,                0.64377,                0.71256,                0.60472,                0.60707,                 1.0381,                 1.1176,               0.007162,               0.007162,               0.007162
                     45,                0.57547,                0.99421,                 1.1231,                0.79218,                0.62382,                0.71171,                0.60468,                0.60236,                 1.0387,                   1.11,               0.007096,               0.007096,               0.007096
